book_id,title,author,date,source_file_path
863,The Mysterious Affair at Styles,Agatha Christie,1920,pg863.txt
1155,The Secret Adversary,Agatha Christie,1922,pg1155.txt
58866,The Murder on the Links,Agatha Christie,1923,pg58866.txt
61168,The Man in the Brown Suit,Agatha Christie,1924,pg61168.txt
65238,The Secret of Chimneys,Agatha Christie,1925,pg65238.txt
69087,The Murder of Roger Ackroyd,Agatha Christie,1926,pg69087.txt
70114,The Big Four,Agatha Christie,1927,pg70114.txt
244,A Study in Scarlet,Arthur Conan Doyle,1887,pg244.txt
834,The Memoirs of Sherlock Holmes,Arthur Conan Doyle,1893,pg834.txt
1661,The Adventures of Sherlock Holmes,Arthur Conan Doyle,1892,pg1661.txt
2097,The Sign of the Four,Arthur Conan Doyle,1890,pg2097.txt
3070,The Hound of the Baskervilles,Arthur Conan Doyle,1902,pg3070.txt
3289,The Valley of Fear,Arthur Conan Doyle,1914,pg3289.txt
