term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
thoughtfully,-0.000980647699494576,-0.007384805860806564,0.012515088117486547,-0.0004484332746721773,-0.006075730025636281,0.004764565704977131,-0.00399929906865659,-0.00040261050041373066,-0.002746412133507868,0.005310193652224318
rest,0.0020753734545815167,0.001525264319093056,-0.005083827613233227,-0.0063891805204078465,0.006655189794084276,0.002798023452784404,0.004661237929334164,0.0036280976070054444,0.0009904255105123438,0.0010883488364242522
attention,0.005823965696982528,-0.000506292060100777,-0.0024438544245354854,0.006245442502537257,0.0014624085478969861,0.0018728943270317835,-0.0031020675524450897,-0.0028695977563474384,-0.0027421153276238897,0.008103501625194881
afterwards,0.005292386760386181,-0.0032934732113961696,-0.0035319004268511978,0.00125028746359079,0.0031896305553419935,0.0009041058631089061,-0.0018924649892846923,-0.0014228319573961843,0.003026415309387312,0.0038673208010101268
feeling,-0.0026536538856506142,-0.0007742300181702855,-0.004656210835194241,-0.0038677485219269447,-0.012844459330655401,0.0014698931428989565,-0.0034357869389337325,0.0010751848077294318,0.0020842102675237006,0.0022677997551717732
view,-0.0005831340218541148,0.0006779822734794272,-0.006134143552435689,-0.002714844690262886,0.0013935696562770161,-0.0015606206255049382,-0.002092449297607102,-0.0035163112057343265,-0.004420005095919707,0.00011770206089565388
position,0.0015544952523264266,0.0011223046371752199,-0.0039718551589279505,0.0068088360481882056,0.0005090103730105433,-0.00025722908295795766,-0.008352579112077041,-0.00020268972494922807,-0.005163176040013817,-0.0012463217980111518
floor,-0.00020949241880063862,0.0009802027120085766,0.0011202506313137128,-0.005806057386436272,0.007044558446734128,0.004009124959535537,0.004733742783545755,-0.015659989788835475,-0.0029003713739748985,0.008891583252042506
shot,-0.0042055968078676675,0.014698871699884201,0.004634487237161852,-0.004074418765971144,0.004794657138547154,-0.002092404841948392,0.004142147133589069,-0.0003481391106674829,0.0009951546517827509,-0.0013383137500158904
affair,0.004237158096161993,0.0011173769171380285,-0.0044140963156956495,-0.0021370265884534945,0.003462083642939151,0.0005455339260642678,-0.0028556209199901428,-0.0033133875444736473,0.0005991938265346164,-0.001924039874009048
love,0.00434667230555168,-0.0007081466058403894,0.0004267815951393538,-0.012917637328628523,-0.014522174436301188,-0.004152466386063258,-0.011872088431097216,0.004577573293009098,0.005709325746870303,-0.013324330092925024
shoulders,0.006562987004018234,-0.005006363817591237,0.002861931306682304,-0.0063501695546964165,0.007154460045275007,-0.004637841334284021,-0.00028442424862729077,-0.00020802305142878473,0.003198493745956363,-0.003912789960869828
friends,-0.0007370063971384639,-0.002099393043091107,-0.012450735876573216,-0.0035955993982285106,0.0081940752181658,0.0019890385021833767,0.0031111190014310036,-0.0017244209542106384,0.006482954018173587,0.010317145946085265
care,-0.0033264539503674332,8.416616273916796e-05,-0.003175105753479093,-0.0027811155137473786,-0.009002904081154867,0.0015811654291381372,-0.0011063228987848173,-0.002066540366410032,-0.004296996993616978,-0.0008162419067427318
yours,-0.0024836454534291315,0.0018268304527322282,-0.0008747421391709206,0.0031243117096357576,-0.004185410618588174,0.002781373703520676,-0.0024315661816946277,-0.00018681680938950618,0.0024969907985208373,0.010387502496502887
corner,-0.002657113572293206,0.0053627362109819636,-0.007423543687302344,-0.0032063395012514213,0.007460768779326507,-0.0024339988280348245,0.005860801654382561,-0.012867383593359566,-0.0007320945692169123,0.0018242786276017053
