term_str,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
aback,1.0062134936018772,0.05000000340013834,0.05,0.05,0.05,3.265246639863153,1.7584687092089024,0.050000003099553804,0.05000000236787291,0.05,8.432638994951786,0.05,0.05,0.05,0.05000006525629724,0.05000000011512212,7.787432088109029,0.05,0.05,0.05
abilities,0.6825522384742185,0.05000000012009476,0.05,0.05,0.05,0.05,1.050000000012646,0.05,0.05,1.0500000000541636,1.8732373838222072,0.05,0.05,0.05,0.05000000265772065,0.05000235811002465,3.5942080167066375,0.05,0.05,0.05
ability,1.9182880325586076,0.05,0.05,2.5767290728143712,0.05,0.16658934924685226,0.05,0.05000000255031265,0.05000000106201538,0.05000000069963397,2.9504675333562576,0.05,0.05,0.05,3.557288748714191,0.09825167519706676,1.0975622108555663,0.05,1.0348233729097758,0.05
abode,0.05,0.05000000005094863,0.05,0.05,0.05,0.05,0.09057471208689818,0.05,0.05,0.05,0.05000000012410794,0.05,0.05,0.05,4.982925754591586,1.0499999999915928,1.0764995331933513,0.05,1.0499999999356024,0.05
abroad,0.05000000217642273,0.05,0.05,0.05,0.05,0.05,0.0500000035056276,0.05,0.05,0.05,4.021916115073604,0.05,0.05,0.05000000027715078,1.4198104875285484,0.7082733903044469,0.05000000110052594,0.05,0.05,0.05
abruptly,1.096983481103372,1.0500000000048082,0.05000000011740896,0.05,0.05,0.050000000287377055,2.226036018873509,0.05,0.050000000478215206,0.050000000131182755,7.306584592787931,0.05,0.05,0.05219672871781986,0.05000000085912223,0.5252631740991884,7.092936002238326,0.05,0.05000000027027001,0.05
absence,5.867968734566178,0.05000000001697672,0.29210322183430526,1.3491809931767857,0.05,0.05000000041402994,0.050007107841067724,0.05,0.05021914753888734,0.050000000070625224,2.08357209643086,0.05,0.05,1.665667602449886,9.111188449725056,1.9770774506541533,14.053015194822214,0.05,0.050000000425376064,0.05
absent,0.050000005256687304,0.05000000003326335,0.05,1.050000000121303,0.05,0.05,1.0424904810885323,0.05,0.05,3.050000000400297,1.6029655108306424,0.05,0.05,0.05,0.08520441778394633,1.3255544889016426,2.19378509539546,0.05,1.0500000001344463,0.05
absolute,1.091288817209303,1.6124964362980025,0.05000000134292999,0.893624038493805,0.05,0.05,1.0500000000020353,0.05,0.05,0.0500000006915705,1.1081335283349,0.05,0.05,0.05,2.7799656808183877,5.783504705395754,4.080986791376996,0.05,0.05,0.05
absolutely,4.537151834735649,0.05000000039061251,0.05000000014531828,0.05,0.05,0.050000000773757165,0.05,0.05,0.05,0.05,1.2972070528655375,0.05,0.05,1.0500000000650576,0.050000000356114585,0.8856799223826147,4.4155276508077765,0.05,1.1144335374467436,0.05
absurd,2.7609005555667157,0.05000000003326335,0.050000000155248074,0.05,0.05,0.05000000303092116,0.05,0.05,1.050000000008505,0.05,2.459818412960312,0.05,0.05,0.05,0.050000000186901046,0.050000061886116075,4.929280966081617,0.05,1.0500000000651781,0.05
accent,1.5666730209257964,0.05,0.05000000022284251,1.0500000000927776,0.05,2.3229024140777406,0.05,0.05,0.05000000228324683,0.05000000010096135,5.669724604628424,0.05,0.05,2.0500000001748258,1.325769212775631,4.6338405669546985,4.781090177598178,0.05,1.0500000001284928,0.05
access,0.050000087938358556,0.050000001090864575,0.05000000020528621,0.05000000118926003,0.05,0.05,1.0499999989087831,0.05,0.05,1.0377916520909611,2.487351817205432,0.05,0.05,0.05,0.05000000158889384,0.06516695858047733,4.60968948115672,0.05,0.05,0.05
accessory,3.030220077571387,0.05000000073339912,1.0694527262957825,1.0500000000678342,0.05,0.05,0.05,0.05,0.050000003738798766,0.05000000015019756,0.05000000028913796,0.05,0.05,0.05,0.050327158774684494,0.05000000127901421,0.05000003107069979,0.05,0.05,0.05
accident,4.520286800005907,0.05000000098099351,0.05000000002272622,0.05,0.05,0.050000001028181196,1.321213985259461,0.050000000979489444,3.3946206823677,0.05,22.35844515486491,0.05,0.05,2.552597348658691,2.906126296738853,3.1257283031979277,12.22098142338571,6.050000002477491,0.05,0.05
accomplice,2.0323180394182816,8.819563428876283,0.050000000253365755,2.050000000237152,0.05,2.3034311850033635,0.05000000043944353,0.05,0.050000000911325476,0.05,2.4776034318332667,0.05,0.05000000215587988,0.05,0.14635058284795677,2.3792257766450713,8.191507551349261,0.05,0.05,0.05
accordingly,1.9756137092483455,0.05,0.05000002476043701,0.05,0.05,0.05,0.05,0.05,0.050000000265404416,0.05,1.6082132397431397,0.05,0.05,0.05,0.05000000140853439,0.05000000062780491,4.566173023917922,0.05,0.05,0.05
account,11.819872538867635,4.8066085875823585,0.7992066793035746,1.6799379447768215,0.05,0.05000000054304857,3.9413915835204736,0.0500000002174739,2.494820435035763,2.2796519378147573,30.483632658791542,0.0500000002254513,0.05000000016398735,4.0500000002724175,26.464246249360563,25.513327764205247,18.267303619211496,0.05,0.05000000007498954,0.05
account matter,0.05000000001232498,0.05,0.05,0.05,0.05,0.05,0.3954963903656637,0.05,0.05,0.05,1.0499999999639005,0.05,0.05,0.05,2.0499999999450362,1.704503609646314,0.05000000004227913,0.05,0.05,0.05
accounts,0.05002954422151152,0.05000000033895584,0.050000000144307964,1.1434064877812993,0.05,0.05,4.5533585579242954,0.05000000097467414,0.05,1.3169381345149973,2.318087009727398,0.05,0.05,0.05,5.885288710541888,0.5610428078995969,6.571848745898144,0.05,0.05,0.05
accuracy,1.7827597892622322,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1.9258119716384825,0.05,0.05,0.05,0.05000000056634586,0.05000000171618986,3.4414282367887723,0.05,0.05,0.05
accusation,0.05,1.04999999999982,0.05,0.05,0.05,0.05,1.049999999985608,0.05,0.05,0.05,0.05000000019263411,0.05,0.05,0.05,0.05,0.05,3.049999999734379,0.05,1.0500000000734955,0.05
acid,2.604852904119324,0.05,0.05,0.05000000225053736,0.05,0.05,0.05,0.05000000819762734,0.0745439544184009,0.9844346919900586,3.9953892325291687,0.8631013161344859,0.05,0.05,0.05000000286397099,0.050000001296024325,2.7776778861638243,0.05,0.05,0.05
acquaintance,5.2786969772705294,0.05000000148861749,0.050442767837646355,2.0669757247634744,0.05,0.050000000298327164,1.4550610765733376,0.050000000102473525,0.05339922669369952,3.342907559398763,10.190657192263297,0.05,0.05,1.0500000000172918,17.982345071345364,10.028976527829823,0.05053787408845077,0.05,0.05,0.05
acquaintances,0.05000000015981565,1.0228382297739342,0.05,0.05000000341442875,0.05,0.05,0.05,0.05,0.5488075606445422,0.05,2.06039843638244,0.05,0.05000000312462038,0.05,2.5300786695339905,0.05581348393371663,2.0820636129969547,0.05,0.05,0.05
acres,2.0499999999951473,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,3.049999999837579,0.05,0.050000000155326754,0.05,0.05,0.05
act,2.681822515571324,0.050000000189379716,0.050000000016202674,1.0500000000893992,0.05,0.05,3.8313646066012206,0.05,0.0500000003512386,0.9817987741837965,1.6008799291928733,0.05000001704992685,0.05,1.050000000044557,6.124541396447648,3.9750825365817173,1.1545102235600975,0.05,1.050000000081621,0.05
