book_id,chap_id,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
244,1,0.016898835863872495,2.361832832121241e-05,2.361832820939013e-05,2.3618328345834432e-05,2.3618327949121266e-05,2.361832817895531e-05,2.361832833966919e-05,2.361832812232066e-05,0.07673213613117334,2.3618328270111116e-05,2.3618328320900154e-05,2.3618327888986595e-05,2.3618328170207866e-05,2.3618328287021922e-05,0.20220376964740056,0.26637280586866235,0.4374381775663996,2.3618328078180294e-05,2.3618328187332182e-05,2.3618327822421698e-05
244,2,3.3647376369951994e-05,3.3647376232847474e-05,3.3647376187558844e-05,3.364737609714302e-05,3.3647375748470375e-05,3.3647375999918394e-05,3.36473763022699e-05,3.3647376043799084e-05,3.364737622234181e-05,3.364737607155009e-05,0.022253211910667987,3.364737559263259e-05,3.3647375746140296e-05,3.364737616143789e-05,0.09254869209709082,0.5905307655642783,0.29412897241180547,3.364737584539073e-05,3.36473760313807e-05,3.364737550475532e-05
244,3,2.6329647797754855e-05,2.63296476960627e-05,2.6329647911516845e-05,2.6329647529400496e-05,2.6329647377679236e-05,2.632964760362195e-05,2.6329647758337903e-05,2.63296474355694e-05,2.6329647706839357e-05,2.6329647619505696e-05,2.6329647749892774e-05,2.632964730010146e-05,2.632964740827943e-05,2.6329647590836172e-05,0.7145760296080199,2.6329647741953273e-05,0.28495003673564673,2.6329647404722078e-05,2.632964751845491e-05,2.6329647182764927e-05
244,4,0.0004785381824583943,3.1847134405570165e-05,3.1847134355365356e-05,3.184713434897617e-05,3.1847133990776714e-05,3.18471342791528e-05,3.1847134454142734e-05,3.184713443684402e-05,3.184713445811918e-05,3.1847134305584864e-05,3.184713441182359e-05,3.184713385067506e-05,3.1847133987036135e-05,3.1847134294899225e-05,0.46847264214368384,0.05443158997855603,0.47610767554763705,3.18471340793048e-05,3.1847134248289265e-05,3.184713375799997e-05
834,1,0.5921679217853089,3.123048154384873e-05,3.123048157463831e-05,0.01488659746680331,3.1230481081268806e-05,3.1230481439647044e-05,3.123048155834617e-05,3.123048148950308e-05,3.123048155145192e-05,0.04060990881917822,3.1230481600073674e-05,3.1230481035664085e-05,3.123048113392575e-05,3.1230481472598394e-05,0.19843153058543486,0.15343558412238684,3.123048160786309e-05,3.123048136553755e-05,3.1230481484073095e-05,3.123048094944197e-05
834,2,3.799392188938834e-05,3.7993921861118536e-05,3.799392154527298e-05,3.7993921787457196e-05,3.7993921173926086e-05,3.799392151765138e-05,3.799392173150823e-05,3.799392142922266e-05,3.7993921893309765e-05,3.799392179964693e-05,3.7993921889524714e-05,3.799392104440753e-05,3.799392125485853e-05,3.7993921753589844e-05,0.21059798435418117,0.5888541322267073,0.19990198675257,3.799392136438455e-05,3.799392163368744e-05,3.799392097269184e-05
834,3,0.7251695896236785,4.3821210281536256e-05,4.38212102326315e-05,4.382121009319812e-05,4.382120971970077e-05,4.382121012644824e-05,4.382121030466076e-05,4.3821209903152984e-05,0.2740416285944808,4.382121012784587e-05,4.3821210464957446e-05,4.3821209487481947e-05,4.3821209843844964e-05,4.382121030068561e-05,4.3821210551706894e-05,4.382121048707428e-05,4.3821210459960534e-05,4.3821209912735644e-05,4.3821210077817974e-05,4.3821209465419774e-05
834,4,0.13367445075438003,4.784689081619679e-05,4.784689074135355e-05,4.784689079242595e-05,4.784689029473079e-05,4.7846890541952676e-05,4.7846890980207984e-05,4.784689037296503e-05,0.06678126411211223,4.784689100200389e-05,4.7846891039106596e-05,4.784689012571802e-05,4.7846890292279266e-05,4.7846891182103444e-05,0.24664083548763477,0.20293472528432813,0.3492510210022876,4.7846890442313616e-05,4.7846890681696585e-05,4.784688995221333e-05
834,5,4.025764994838342e-05,4.025764992563379e-05,4.0257649752078304e-05,4.0257649561956385e-05,4.0257649302661053e-05,4.025764956622169e-05,4.025764978025478e-05,0.11083745001973538,4.025764985366363e-05,0.007005344762934451,0.017733296657769067,4.025764996749341e-05,4.02576492076082e-05,4.0257649678037575e-05,0.5787208237164715,0.045962163481025026,0.23917731426716546,4.025764949071883e-05,4.02576499109889e-05,4.025764895334909e-05
834,6,0.04370628692831318,4.095004171223044e-05,4.095004170028545e-05,4.095004154580539e-05,4.095004114139736e-05,4.0950041431741324e-05,4.095004166278853e-05,4.0950041415767143e-05,0.2092471416636936,4.0950041615795336e-05,0.0020685981615926243,4.0950041053418944e-05,4.095004120189118e-05,4.095004163751227e-05,0.05702142567949054,0.6808437459763171,0.006539501010340268,4.095004152121626e-05,4.095004166264129e-05,4.095004095009942e-05
