term_str,n,n_chars,p,i,max_pos,df,idf,dfidf,tfidf_mean,tfidf_sum,tfidf_median,tfidf_max,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,sentiment
abandon,12,7,1.366232204825532e-05,16.159437769520164,VB,10,4.705977901682522,47.059779016825225,6.462566636823106e-05,0.0168672989221083,0.0,0.0029302477594536,0,0,0,1,0,1,0,1,0,0,-1
abandoned,23,9,2.6186117259156032e-05,15.220838314184308,VB,22,3.568474377932587,78.50643631451692,9.485101734585747e-05,0.0247561155272688,0.0,0.0018375254263298,1,0,0,1,0,1,0,1,0,0,-1
abandonment,1,11,1.1385268373546102e-06,19.74440027024132,NN,1,8.027905996569885,8.027905996569885,1.4038457564242933e-05,0.0036640374242674,0.0,0.0036640374242674,1,0,0,1,0,1,0,1,1,0,-1
abduction,1,9,1.1385268373546102e-06,19.74440027024132,NN,1,8.027905996569885,8.027905996569885,7.397369053212185e-06,0.0019307133228883,0.0,0.0019307133228883,0,0,0,1,0,1,0,1,1,0,-1
abhor,2,5,2.2770536747092203e-06,18.74440027024132,VB,2,7.027905996569885,14.05581199313977,1.4949520046836412e-05,0.0039018247322243,0.0,0.0023726893978966,1,0,1,1,0,1,0,0,0,0,-1
abhorrent,1,9,1.1385268373546102e-06,19.74440027024132,JJ,1,8.027905996569885,8.027905996569885,8.894812181392788e-06,0.0023215459793435,0.0,0.0023215459793435,1,0,1,1,0,1,0,0,0,0,-1
abject,1,6,1.1385268373546102e-06,19.74440027024132,JJ,1,8.027905996569885,8.027905996569885,9.605952693084404e-06,0.002507153652895,0.0,0.002507153652895,0,0,1,0,0,1,0,0,0,0,-1
abnormal,5,8,5.692634186773051e-06,17.422472175353956,JJ,4,6.027905996569885,24.11162398627954,4.2160520072784943e-05,0.0110038957389968,0.0,0.0056125754158006,0,0,1,0,0,1,0,0,0,0,-1
abominable,5,10,5.692634186773051e-06,17.422472175353956,JJ,5,5.705977901682522,28.52988950841261,3.706929663402468e-05,0.0096750864214804,0.0,0.0028644467377924,0,0,1,1,0,1,0,0,0,0,-1
abomination,2,11,2.2770536747092203e-06,18.74440027024132,NN,2,7.027905996569885,14.05581199313977,1.685770109604225e-05,0.004399859986067,0.0,0.0036737616291531,1,0,1,1,0,1,0,0,0,0,-1
abortive,1,8,1.1385268373546102e-06,19.74440027024132,JJ,1,8.027905996569885,8.027905996569885,8.344617613471586e-06,0.002177945197116,0.0,0.002177945197116,0,0,0,0,0,1,0,1,0,0,-1
