term_str,n,n_chars,p,i,max_pos,df,idf,dfidf,tfidf_mean,tfidf_sum,tfidf_median,tfidf_max
1,31,1,3.529433195799291e-05,14.790203959854445,CD,22,3.568474377932587,78.50643631451692,0.00016933098800382427,0.04419538786899813,0.0,0.00753372493581827
10,7,2,7.969687861482271e-06,16.937045348183716,CD,5,5.705977901682522,28.529889508412612,3.2144689120645146e-05,0.008389763860488383,0.0,0.003838101727589141
100,5,3,5.692634186773051e-06,17.422472175353956,CD,4,6.027905996569885,24.11162398627954,2.3458536532860527e-05,0.006122678035076597,0.0,0.002503283221166896
1000,9,4,1.0246741536191492e-05,16.574475268799006,CD,5,5.705977901682522,28.529889508412612,2.0858974337361466e-05,0.005444192302051343,0.0,0.0029348718761868747
100000,1,6,1.1385268373546102e-06,19.744400270241318,NN,1,8.027905996569885,8.027905996569885,1.622271124644318e-05,0.004234127635321669,0.0,0.004234127635321669
1015,1,4,1.1385268373546102e-06,19.744400270241318,CD,1,8.027905996569885,8.027905996569885,8.094279085067438e-06,0.0021126068412026014,0.0,0.0021126068412026014
1019,1,4,1.1385268373546102e-06,19.744400270241318,CD,1,8.027905996569885,8.027905996569885,1.018148312587099e-05,0.0026573670958523286,0.0,0.0026573670958523286
1023,2,4,2.2770536747092203e-06,18.744400270241318,CD,2,7.027905996569885,14.05581199313977,1.599923303648781e-05,0.004175799822523318,0.0,0.002326350876057559
1030,2,4,2.2770536747092203e-06,18.744400270241318,CD,2,7.027905996569885,14.05581199313977,1.5190276379476996e-05,0.003964662135043496,0.0,0.0020465655202591393
1040,1,4,1.1385268373546102e-06,19.744400270241318,CD,1,8.027905996569885,8.027905996569885,1.1112088339326685e-05,0.0029002550565642646,0.0,0.0029002550565642646
109,1,3,1.1385268373546102e-06,19.744400270241318,CD,1,8.027905996569885,8.027905996569885,1.0287043653262964e-05,0.0026849183935016337,0.0,0.0026849183935016337
10s,2,3,2.2770536747092203e-06,18.744400270241318,CD,2,7.027905996569885,14.05581199313977,6.130953972370069e-06,0.0016001789867885882,0.0,0.0008423715685688464
10th,1,4,1.1385268373546102e-06,19.744400270241318,NN,1,8.027905996569885,8.027905996569885,4.175140562407528e-06,0.0010897116867883648,0.0,0.0010897116867883648
11,8,2,9.108214698836881e-06,16.744400270241318,CD,7,5.22055107451228,36.54385752158596,7.918472253797939e-05,0.020667212582412622,0.0,0.00914282149651888
1100,1,4,1.1385268373546102e-06,19.744400270241318,CD,1,8.027905996569885,8.027905996569885,3.1144451724641827e-06,0.0008128701900131516,0.0,0.0008128701900131516
1110,1,4,1.1385268373546102e-06,19.744400270241318,CD,1,8.027905996569885,8.027905996569885,4.294047259982725e-06,0.0011207463348554914,0.0,0.0011207463348554914
1115,3,4,3.4155805120638303e-06,18.159437769520164,CD,2,7.027905996569885,14.05581199313977,9.236940590236086e-06,0.002410841494051618,0.0,0.0016847431371376927
1130,1,4,1.1385268373546102e-06,19.744400270241318,CD,1,8.027905996569885,8.027905996569885,3.0819900323904074e-06,0.0008043993984538963,0.0,0.0008043993984538963
1140,4,4,4.554107349418441e-06,17.744400270241318,CD,4,6.027905996569885,24.11162398627954,5.735271161424711e-05,0.014969057731318496,0.0,0.005143264502192734
1145,5,4,5.692634186773051e-06,17.422472175353956,CD,3,6.442943495848728,19.328830487546185,4.273030345411757e-05,0.011152609201524688,0.0,0.00665822614107688
1145the,1,7,1.1385268373546102e-06,19.744400270241318,CD,1,8.027905996569885,8.027905996569885,1.3088621499257985e-05,0.003416130211306334,0.0,0.003416130211306334
117,2,3,2.2770536747092203e-06,18.744400270241318,CD,1,8.027905996569885,8.027905996569885,7.819565405683557e-06,0.002040906570883408,0.0,0.002040906570883408
117th,2,5,2.2770536747092203e-06,18.744400270241318,CD,1,8.027905996569885,8.027905996569885,8.58809451996545e-06,0.0022414926697109827,0.0,0.0022414926697109827
12,4,2,4.554107349418441e-06,17.744400270241318,CD,2,7.027905996569885,14.05581199313977,2.5669577525925992e-05,0.006699759734266684,0.0,0.004727291029082883
120,2,3,2.2770536747092203e-06,18.744400270241318,CD,1,8.027905996569885,8.027905996569885,6.163980064780815e-06,0.0016087987969077926,0.0,0.0016087987969077926
1210,2,4,2.2770536747092203e-06,18.744400270241318,CD,2,7.027905996569885,14.05581199313977,1.961262201756704e-05,0.005118894346584997,0.0,0.0031262927031004825
1214,1,4,1.1385268373546102e-06,19.744400270241318,CD,1,8.027905996569885,8.027905996569885,1.663507870376218e-05,0.004341755541681929,0.0,0.004341755541681929
1217,1,4,1.1385268373546102e-06,19.744400270241318,CD,1,8.027905996569885,8.027905996569885,1.2181489316141095e-05,0.0031793687115128258,0.0,0.0031793687115128258
1228,1,4,1.1385268373546102e-06,19.744400270241318,CD,1,8.027905996569885,8.027905996569885,1.4319488139318557e-05,0.0037373864043621437,0.0,0.0037373864043621437
